Time(ms),Angle(rad),Volume,Pressure(kPa),Temperature 1(C),Temperature 2(C)
0.0,2.2595537005555495,31.363800266415186,90.2783203125,196.0,62.25
7.0,1.6904468282499765,33.98046989821828,82.0751953125,196.0,62.25
11.0,1.363708920430335,35.92561420812556,77.71728515625,196.0,62.25
15.0,1.0369710126106935,37.94839359017266,73.95751953125,196.0,62.25
20.0,0.7117670855789375,39.74890500993728,70.66162109375,196.0,62.25
24.0,0.38963112012295287,41.03472184489766,68.14697265625,196.0,62.25
28.0,0.06596117387908257,41.60873482276957,66.41357421875,196.0,62.25
32.0,6.02854449639057,41.37036979659554,65.26611328125,196.0,62.25
36.0,5.703340569358814,40.34998931546722,65.26611328125,196.0,62.25
40.0,5.382738584690715,38.74785167806832,66.1572265625,196.0,62.25
44.0,5.057534657658959,36.78668309751904,68.24462890625,196.0,62.25
52.0,4.407126803595447,32.99692331047219,76.4111328125,196.0,62.25
60.0,3.7551849687440497,30.573269577890628,87.33642578125,196.0,62.25
65.0,3.428447060924408,30.00279957759722,91.865234375,196.0,62.25
69.0,3.104777114680538,29.847654759219644,94.85595703125,196.0,62.25
73.0,2.7811071684366677,30.09456121651419,95.2587890625,196.0,62.25
80.0,2.205864372979552,31.557261443262732,89.46044921875,196.0,62.25
85.0,1.8008934449777427,33.38173184228248,83.89404296875,196.0,62.25
93.0,1.1412817061869172,37.31112838108434,74.98291015625,196.0,62.25
101.0,0.4954757944870621,40.682336131627565,69.02587890625,196.0,62.25
110.0,6.129787228391022,41.53271596598189,65.498046875,196.0,62.25
117.0,5.568350260024878,39.73385534822518,65.43701171875,196.0,62.25
122.0,5.164913312810954,37.453058182876575,67.46337890625,196.0,62.25
130.0,4.5145054587474425,33.552439309203244,74.47021484375,196.0,62.25
138.0,3.856427700744502,30.836848732078714,85.7861328125,196.0,62.25
146.0,3.20601984668099,29.852999414690895,94.2578125,196.0,62.25
154.0,2.6399809359511885,30.329990883077656,94.404296875,196.0,62.25
159.0,2.2304080655857224,31.467363329422728,89.87548828125,196.0,62.25
166.0,1.6582332317043782,34.161894099528695,81.50146484375,196.0,62.25
171.0,1.2471263805510262,36.6526013153842,76.1181640625,196.0,62.25
178.0,0.6764855274575677,39.91864459746214,70.27099609375,196.0,62.25
183.0,0.2699806186678729,41.3389633954887,67.3291015625,196.0,62.25
192.0,5.910427975723375,41.08384955313112,65.302734375,196.0,62.25
199.0,5.350524988145117,38.563807150073444,66.41357421875,196.0,62.25
204.0,4.942486098567536,36.068642770952124,69.3798828125,196.0,62.25
211.0,4.371845245474077,32.8231207148391,77.00927734375,196.0,62.25
216.0,3.9622723751086113,31.157127965755834,84.150390625,196.0,62.25
223.0,3.394699483590924,29.967793088978787,92.40234375,196.0,62.25
228.0,2.9866605940133435,29.890986381806478,95.46630859375,196.0,62.25
236.0,2.4175537217077707,30.862880136989627,92.21923828125,196.0,62.25
241.0,2.0110488129180757,32.35676728580454,86.62841796875,196.0,62.25
248.0,1.432738055885189,35.499411358599836,78.5107421875,196.25,62.25
253.0,1.0231651855197226,38.031322312714934,73.505859375,196.25,62.25
260.0,0.45559229400203544,40.823879311535606,68.58642578125,196.25,62.25
265.0,0.0521553467881118,41.61521687048897,66.42578125,196.25,62.25
272.0,5.772369704813668,40.625174471823634,65.24169921875,196.25,62.25
278.0,5.37046673838763,38.678119395461664,66.26708984375,196.25,62.25
285.0,4.801359866082057,35.19997161627114,70.85693359375,196.25,62.25
290.0,4.3933209765044765,32.92838156860615,76.5576171875,196.25,62.25
297.0,3.8196121618352468,30.73617870294957,86.50634765625,196.25,62.25
302.0,3.4131072530455517,29.986339854961127,92.109375,196.25,62.25
309.0,2.8455343615278643,30.013114202699175,95.51513671875,196.25,62.25
314.0,2.4390294527381697,30.802678047406474,92.41455078125,196.25,62.25
322.0,1.8622526764931684,33.06614032428785,84.55322265625,196.0,62.25
327.0,1.4557477677034736,35.35860669676075,78.779296875,196.0,62.25
334.0,0.8789709914584725,38.86870030955726,72.1142578125,196.0,62.25
339.0,0.4770680250324344,40.748947366522074,68.70849609375,196.0,62.25
346.0,6.195748402270105,41.595648824778536,65.693359375,196.0,62.25
351.0,5.792311455056181,40.69919301017491,65.1318359375,196.0,62.25
358.0,5.226272544326379,37.827938234093175,67.1826171875,196.0,62.25
364.0,4.822835597112456,35.33053626628,70.6005859375,196.0,62.25
371.0,4.24759280165534,32.247774468433064,78.84033203125,196.0,62.25
376.0,3.836485950501989,30.781633304331756,86.01806640625,196.0,62.25
383.0,3.2689130589843014,29.876068099220277,93.8916015625,196.0,62.25
388.0,2.8624081501946064,29.99445551488171,95.5517578125,196.0,62.25
395.0,2.2902333163132624,31.25853762542899,90.498046875,196.25,62.25
400.0,1.8791264651599104,32.98163318824164,84.57763671875,196.25,62.25
